link,title,category,fandom,ficwriter,rated,reviews,favs,follows,updated_at,published_at,chapters,language,words,genre,status,characters
https://www.fanfiction.net/s/6516/1/Cold-Fire,Cold Fire,Books,Harry Potter,capricious star,Fiction  K,42,4,2,,11/14/1999 ,,English,103,Poetry/Humor ,,
https://www.fanfiction.net/s/7629/1/Haunted,Haunted,Books,Harry Potter,capricious star,Fiction  K,46,8,1,,11/4/1999 ,,English,190,Poetry ,,
https://www.fanfiction.net/s/7609/1/The-Golden-Window-of-Hope,The Golden Window of Hope,Books,Harry Potter,capricious star,Fiction  K,38,5,4,,11/5/1999 ,,English ,76,,,
https://www.fanfiction.net/s/4137/1/Harry-Potter-and-the-School-of-the-Dark-Arts-Ch-1,Harry Potter and the School of the Dark Arts Ch. 1,Books,Harry Potter,Mewgirl,Fiction  K,93,14,4,,11/6/1999 ,,English ,"1,023",,,
https://www.fanfiction.net/s/5910/1/Harry-Potter-and-Year-5,Harry Potter and Year 5,Books,Harry Potter,Supervixen,Fiction  K,282,17,4,,10/31/1999 ,7  ,English,"13,017",,,
https://www.fanfiction.net/s/3803/1/Harry-Potter-and-the-Man-of-Unknown,Harry Potter and the Man of Unknown,Books,Harry Potter,Gypsy Silverleaf,Fiction  K+,594,163,42,,9/4/1999 ,4  ,English,"13,605",,,
https://www.fanfiction.net/s/3870/1/The-Essence-of-Love,The Essence of Love,Books,Harry Potter,capricious star,Fiction  K,57,8,1,,11/9/1999 ,,English ,197,,,
https://www.fanfiction.net/s/7588/1/The-Love-That-Shattered-a-Man,The Love That Shattered a Man,Books,Harry Potter,Gypsy Silverleaf,Fiction  K+,399,76,10,,10/13/1999 ,2  ,English,"7,782",,,
https://www.fanfiction.net/s/6826/1/Hermione-Harry,Hermione & Harry,Books,Harry Potter,Katherine the Great,Fiction  K+,180,20,16,,9/27/1999 ,,English ,"2,731",,,
https://www.fanfiction.net/s/684/1/Lily,Lily,Books,Harry Potter,Katie Bell,Fiction  K+,365,83,13,,10/21/1999 ,,English,"10,649",Romance/Angst,," Lily Evans P., James P. "
https://www.fanfiction.net/s/3853/1/Lily-Fly-Away,"Lily, Fly Away",Books,Harry Potter,Cinnamon,Fiction  K,150,42,3,,11/11/1999 ,,English ,255,,,
https://www.fanfiction.net/s/7308/1/The-Exchange-Student,The Exchange Student,Books,Harry Potter,Gina,Fiction  K,59,7,5,,10/30/1999 ,2  ,English,"7,863",,,
https://www.fanfiction.net/s/7912/1/Harry-Potter-and-the-Tomb-of-Days,Harry Potter and the Tomb of Days,Books,Harry Potter,Slytherin Dragon,Fiction  K,160,15,3,,11/12/1999 ,3  ,English,"8,618",,,
https://www.fanfiction.net/s/3749/1/From-the-Office-of-the-Minister-of-Magic,From the Office of the Minister of Magic,Books,Harry Potter,Katie Bell,Fiction  K,80,13,3,,11/16/1999 ,,English ,"1,842",,,
https://www.fanfiction.net/s/6954/1/Voldemort-s-thoughts,Voldemort's thoughts,Books,Harry Potter,Moony,Fiction  K,61,6,1,,11/23/1999 ,,English ,294,,,
https://www.fanfiction.net/s/1995/1/A-Book-And-What-it-Caused,A Book And What it Caused,Books,Harry Potter,Kyta Firenth,Fiction  K,136,8,3,,12/30/1999 ,,Spanish,"4,312",Drama ,,
https://www.fanfiction.net/s/7642/1/It-happened-one-night,It happened one night,Books,Harry Potter,Molly,Fiction  K+,43,3,,,11/16/1999 ,,English,930,Drama ,,
https://www.fanfiction.net/s/3396/1/The-Alternative,The Alternative,Books,Harry Potter,Katie Bell,Fiction  K,113,32,6,,11/16/1999 ,,English ,"1,792",,,
https://www.fanfiction.net/s/6088/1/Harry-Potter-and-the-Traitor-of-Tsemlin,Harry Potter and the Traitor of Tsemlin,Books,Harry Potter,capricious star,Fiction  K,73,14,3,,11/29/1999 ,,English,"7,223",Mystery ,,
https://www.fanfiction.net/s/3476/1/Niaga-Erised,"Niaga, Erised",Books,Harry Potter,Katie Bell,Fiction  K,79,20,5,,11/16/1999 ,,English,949,Angst/Supernatural,," Harry P., Lily Evans P. "
https://www.fanfiction.net/s/6094/1/Without-You,Without You,Books,Harry Potter,Katie Bell,Fiction  K+,71,9,,,11/30/1999 ,,English ,"1,448",,,
https://www.fanfiction.net/s/5257/1/Hermione-s-Song,Hermione's Song,Books,Harry Potter,Angelina Johnson,Fiction  K+,75,1,,,12/15/1999 ,,English,286,Romance ,,
https://www.fanfiction.net/s/6393/1/The-Letter,The Letter,Books,Harry Potter,Ascot no miko,Fiction  K+,30,3,1,,12/10/1999 ,,English ,654,,,
https://www.fanfiction.net/s/3674/1/Love-Is,Love Is,Books,Harry Potter,Katie Bell,Fiction  K+,173,40,6,,12/9/1999 ,,English ,"2,500",,,
https://www.fanfiction.net/s/2116/1/Shannon-Goddard-and-The-Wizard-s-School,Shannon Goddard and The Wizard's School,Books,Harry Potter,Icy Riddle,Fiction  K,63,4,4,,12/19/1999 ,2  ,English,"2,109",,,
https://www.fanfiction.net/s/7795/1/Harry-Potter-and-the-Last-Battle,Harry Potter and the Last Battle,Books,Harry Potter,magpieforjoy,Fiction  K+,89,30,7,,12/19/1999 ,,English,"2,140",Fantasy/Adventure,," Harry P., Hermione G. "
https://www.fanfiction.net/s/7719/1/Remus-Icy-and-A-Dark-Secret,"Remus, Icy, and A Dark Secret",Books,Harry Potter,Icy Riddle,Fiction  K,51,11,3,,12/19/1999 ,2  ,English,"3,582",,,
https://www.fanfiction.net/s/1845/1/The-Shadow-of-Fear,The Shadow of Fear,Books,Harry Potter,Elizabeth Notrab,Fiction  K,18,8,3,,12/3/1999 ,,English ,"13,265",,,
https://www.fanfiction.net/s/7879/1/Christmas-Songs-for-Harry,Christmas Songs for Harry,Books,Harry Potter,magpieforjoy,Fiction  K,48,16,2,,12/20/1999 ,,English,683,Parody/Humor ,,
https://www.fanfiction.net/s/8371/1/Hermione-Harry-and-The-Dark-Wizard,"Hermione, Harry, and The Dark Wizard",Books,Harry Potter,Icy Riddle,Fiction  K+,62,5,1,,12/23/1999 ,3  ,English,"3,305",Drama,,
https://www.fanfiction.net/s/8315/1/Fidelius,Fidelius,Books,Harry Potter,Amy G,Fiction  K+,59,8,4,,12/22/1999 ,,English ,"3,254",,,
https://www.fanfiction.net/s/7673/1/Harry-Potter-and-the-Living-Ghost-Solution-Consolidated,Harry Potter and the Living Ghost Solution: Consolidated,Books,Harry Potter,Wanderlust,Fiction  K+,41,,,,12/23/1999 ,,English ,"2,642",,,
https://www.fanfiction.net/s/8846/1/Harry-Sirius,Harry & Sirius,Books,Harry Potter,Katherine the Great,Fiction  K,109,21,14,,12/24/1999 ,,English ,"1,365",,,
https://www.fanfiction.net/s/8860/1/Dudley-s-Dilemma-Consolidated,Dudley's Dilemma: Consolidated,Books,Harry Potter,Wanderlust,Fiction  K,27,4,3,,12/24/1999 ,,English ,"1,488",,,
https://www.fanfiction.net/s/407/1/Petunia-s-Story,Petunia's Story,Books,Harry Potter,Samantha,Fiction  K,172,60,9,,12/25/1999 ,,English ,692,,,
https://www.fanfiction.net/s/8965/1/Transformations,Transformations,Books,Harry Potter,Icy Riddle,Fiction  K+,39,3,2,,12/25/1999 ,2  ,English,"2,474",Romance,,
https://www.fanfiction.net/s/5582/1/Mischief-Managed,Mischief Managed,Books,Harry Potter,Nora,Fiction  K,57,13,3,,12/28/1999 ,,English ,"1,011",,,
https://www.fanfiction.net/s/9103/1/It-s-illusions-I-recall,It's illusions I recall,Books,Harry Potter,Jenny,Fiction  K+,42,1,,,1/15/2000 ,2  ,English,"2,686",,,
https://www.fanfiction.net/s/8795/1/Millennium,Millennium,Books,Harry Potter,Samantha,Fiction  K+,59,1,,,12/28/1999 ,,English ,"3,840",,,
https://www.fanfiction.net/s/6777/1/Point-in-Time,Point in Time,Books,Harry Potter,Icy Riddle,Fiction  K+,13,3,,,12/30/1999 ,,English ,"1,081",,,
https://www.fanfiction.net/s/5674/1/One-Last-Night-Betrayal,One Last Night/Betrayal,Books,Harry Potter,Icy Riddle,Fiction  K+,12,2,2,,12/30/1999 ,,English ,"1,824",,,
https://www.fanfiction.net/s/5875/1/Harry-s-Last-Fling,Harry's Last Fling,Books,Harry Potter,Celeste Wilkens,Fiction  K,102,5,2,,1/1/2000 ,,English,885,Romance ,,
https://www.fanfiction.net/s/5122/1/In-the-Dark,In the Dark,Books,Harry Potter,Jess22,Fiction  K+,29,,,,1/3/2000 ,,English ,602,,,
https://www.fanfiction.net/s/5717/1/Happy-Birthday-Hermione,Happy Birthday Hermione,Books,Harry Potter,Mena Baines,Fiction  K,246,28,5,,12/31/1999 ,,English,"3,894",Romance ,,
https://www.fanfiction.net/s/4890/1/Love-Hate-Death-and-a-Diary,"Love, Hate, Death, and a Diary",Books,Harry Potter,Slytherin Dragon,Fiction  K,60,4,1,,1/5/2000 ,,English ,"3,079",,,
https://www.fanfiction.net/s/5174/1/Beatrice,Beatrice,Books,Harry Potter,Brie Cheese Eater-old account,Fiction  K,35,1,1,,1/5/2000 ,,English ,869,,,
https://www.fanfiction.net/s/4976/1/Harry-Pothead,Harry Pothead,Books,Harry Potter,pooman,Fiction  K+,193,28,2,,1/7/2000 ,,English,162,Humor ,,
https://www.fanfiction.net/s/4959/1/Remembering-Lily,Remembering Lily,Books,Harry Potter,Bumblebee,Fiction  K,40,4,,,1/7/2000 ,,English ,"2,540",,,
https://www.fanfiction.net/s/5019/1/Ginny-s-Secret,Ginny's Secret,Books,Harry Potter,Wanderlust,Fiction  K,63,3,3,,1/8/2000 ,,English ,550,,,
